"year","pct","ser_num","datestop","timestop","city","sex","race","age"
2012,40,1766,20120106,2355,3,1,1,20
2012,83,169,20120107,2,2,1,3,28
2012,49,152,20120107,15,3,1,4,38
2012,34,150,20120107,19,1,1,2,34
2012,32,230,20120107,24,1,0,1,22
2012,32,228,20120107,24,1,1,1,24
2012,34,494,20120107,35,1,1,3,20
2012,105,208,20120107,40,4,1,1,32
2012,73,181,20120107,45,2,1,1,21
2012,18,43,20120107,103,1,1,1,24
2012,90,254,20120107,110,2,1,4,33
2012,71,110,20120107,115,2,1,1,15
2012,5,36,20120107,130,1,1,3,21
2012,26,96,20120107,149,1,1,1,23
2012,26,98,20120107,149,1,1,1,26
2012,40,440,20120107,200,3,1,1,24
2012,70,1139,20120107,200,2,1,2,29
2012,26,105,20120107,200,1,1,3,28
2012,43,250,20120107,201,3,1,1,30
2012,81,188,20120107,250,2,1,1,29
2012,32,353,20120107,355,1,1,1,22
2012,47,236,20120107,355,3,1,1,23
2012,28,100,20120107,400,1,1,3,30
2012,72,93,20120107,400,2,1,4,22
2012,32,343,20120107,455,1,0,2,36
2012,28,90,20120107,535,1,1,3,57
2012,32,346,20120107,555,1,1,1,22
2012,32,348,20120107,615,1,0,1,22
2012,75,503,20120107,830,2,1,1,21
2012,43,243,20120107,840,3,1,2,46
2012,100,275,20120107,915,4,1,1,54
2012,17,19,20120107,920,1,1,1,31
2012,100,183,20120107,930,4,1,1,29
2012,120,819,20120107,935,5,1,1,44
2012,28,347,20120107,1030,1,1,1,60
2012,123,25,20120107,1045,5,1,4,17
2012,61,150,20120107,1115,2,1,1,22
2012,43,350,20120107,1115,3,1,3,40
2012,90,248,20120107,1140,2,1,5,27
2012,10,76,20120107,1142,1,1,1,52
2012,114,271,20120107,1145,4,1,3,18
2012,100,200,20120107,1210,4,1,1,18
2012,69,64,20120107,1300,2,0,1,54
2012,23,63,20120107,1352,1,0,1,36
2012,19,101,20120107,1407,1,1,2,22
2012,19,95,20120107,1435,1,1,3,30
2012,52,224,20120107,1455,3,1,3,15
2012,41,378,20120107,1554,3,1,3,44
2012,70,1607,20120107,1600,2,1,2,20
2012,10,126,20120107,1600,1,1,3,15
2012,41,737,20120107,1615,3,1,5,24
2012,47,182,20120107,1620,3,1,1,24
2012,70,244,20120107,1626,2,1,4,47
2012,78,85,20120107,1638,2,1,3,37
2012,42,174,20120107,1645,3,1,1,24
2012,32,323,20120107,1645,1,1,1,72
2012,19,84,20120107,1655,1,1,3,51
2012,75,542,20120107,1720,2,1,1,16
2012,79,318,20120107,1728,2,1,1,30
2012,123,19,20120107,1755,5,1,4,38
2012,100,443,20120107,1810,4,1,1,19
2012,61,175,20120107,1830,2,1,1,22
2012,73,192,20120107,1835,2,1,1,16
2012,34,114,20120107,1850,1,1,3,31
2012,42,170,20120107,1900,3,1,1,16
2012,101,183,20120107,1900,4,1,1,21
2012,75,1200,20120107,1910,2,1,1,25
2012,25,410,20120107,1915,1,1,1,16
2012,63,49,20120107,1920,2,1,1,31
2012,34,214,20120107,1925,1,1,1,51
2012,81,162,20120107,1930,2,1,1,16
2012,10,245,20120107,1930,1,1,4,50
2012,32,250,20120107,1935,1,1,1,30
2012,44,281,20120107,1936,3,1,1,20
2012,105,129,20120107,1938,4,1,1,16
2012,83,168,20120107,1938,2,1,2,24
2012,7,55,20120107,2005,1,1,1,56
2012,61,196,20120107,2015,2,1,1,22
2012,6,112,20120107,2025,1,0,1,21
2012,24,48,20120107,2025,1,1,1,41
2012,101,189,20120107,2030,4,1,1,19
2012,32,297,20120107,2030,1,1,1,19
2012,83,177,20120107,2041,2,1,1,24
2012,43,632,20120107,2043,3,1,3,28
2012,79,287,20120107,2044,2,1,4,30
2012,34,122,20120107,2050,1,1,2,25
2012,83,172,20120107,2050,2,1,3,21
2012,43,319,20120107,2100,3,1,1,15
2012,73,217,20120107,2100,2,1,1,24
2012,32,261,20120107,2110,1,1,1,15
2012,110,225,20120107,2110,4,1,3,24
2012,88,135,20120107,2113,2,1,1,35
2012,44,222,20120107,2120,3,1,1,18
2012,90,238,20120107,2125,2,1,3,16
2012,45,106,20120107,2130,3,1,1,24
2012,40,545,20120107,2130,3,1,1,15
2012,81,267,20120107,2130,2,1,1,16
2012,77,140,20120107,2145,2,1,1,23
2012,48,29,20120107,2149,3,1,3,27
2012,120,284,20120107,2155,5,0,4,29
