fips	year	incum_vote	prev_incum	all_current_irelief
5013	2004	58.29000092	51.61999893	2.157710314
5015	1988	62.77402496	69.0169754	0
5015	1992	39.90999985	62.77402496	0
5015	1996	41.81000137	42.54999924	0
5015	2000	37.49000168	41.81000137	0
5015	2004	59	57.93999863	3.676550865
5017	1988	43.74137115	42.34218979	0
5017	1992	24.36000061	43.74137115	0
5017	1996	70.26000214	68.72000122	1.173233747
5017	2000	63.34000015	70.26000214	0
5017	2004	36.25999832	35.13000107	5.755009651
5019	1988	41.68511581	47.43284607	0
5019	1992	26.93000031	41.68511581	0
5019	1996	65.01999664	64.63999939	0
5019	2000	54.02999878	65.01999664	2.665749788
5019	2004	44.99000168	43.77000046	3.534456253
5021	1988	44.32692337	53.46295929	0
5021	1992	23.26000023	44.32692337	0
5021	1996	65.62999725	68.47000122	0
5021	2000	59.77999878	65.62999725	0
5021	2004	45.25999832	38.20000076	4.313399315
5023	1988	58.84739304	64.52298737	0
5023	1992	35.86999893	58.84739304	0
5023	1996	47.27999878	51	0
5023	2000	40.36000061	47.27999878	0
5023	2004	60.43000031	56.13999939	4.751910686
5025	1988	50.74626923	56.26785278	0
5025	1992	33.36000061	50.74626923	0
5025	1996	57.56999969	56.04000092	0
5025	2000	44.45000076	57.56999969	0
5025	2004	57.47000122	52.75	3.631474018
5027	1988	59.27361679	63.94277954	0
5027	1992	37.70000076	59.27361679	0
5027	1996	52.65999985	48.34999847	0
5027	2000	43.00999832	52.65999985	1.149656773
5027	2004	57.81999969	53.91999817	1.998585105
5029	1988	49.35065079	57.43373871	0
5029	1992	32.06000137	49.35065079	0
5029	1996	55.68999863	57.75	0
5029	2000	48.33000183	55.68999863	0
5029	2004	49.59000015	49	4.049218178
5031	1988	54.99421692	63.61289597	0
5031	1992	35.56999969	54.99421692	0
5031	1996	54.04000092	54.43000031	0
5031	2000	49.20000076	54.04000092	2.859211922
5031	2004	53.08000183	48.33000183	2.742909193
5033	1988	70.85411835	75.66946411	0
5033	1992	42.56999969	70.85411835	0
5033	1996	42.68000031	41.18000031	0
5033	2000	35.68000031	42.68000031	0
5033	2004	65.63999939	61.29999924	2.956788778
5035	1988	51.73109055	50.54236603	0
5035	1992	34.54999924	51.73109055	0
5035	1996	59.11000061	56.59999847	0
5035	2000	54.59000015	59.11000061	0
5035	2004	45.29000092	44.25999832	4.841086388
5037	1988	51.28783035	59.18706512	0
5037	1992	32.97000122	51.28783035	0
5037	1996	58.93999863	58.09000015	0
5037	2000	49.81000137	58.93999863	1.758868694
5037	2004	54.61999893	48.79999924	5.100533962
5039	1988	49.19150925	53.70791626	0
5039	1992	37.15000153	49.19150925	0
5039	1996	61.65999985	53.68000031	0
5039	2000	51.43000031	61.65999985	0
5039	2004	50.18000031	47.25	2.856194735
5041	1988	42.94388199	48.02280045	0
5041	1992	22.75	42.94388199	0
5041	1996	70.94000244	67.87000275	0
5041	2000	61.75999832	70.94000244	0
5041	2004	37.20999908	35.65999985	4.993542671
5043	1988	53.29181671	56.36063004	0
5043	1992	30.77000046	53.29181671	0
5043	1996	62.90999985	59.50999832	0
5043	2000	51.66999817	62.90999985	0
5043	2004	52.20000076	46.54000092	4.344048977
5045	1988	58.41676331	61.79386139	0
5045	1992	37.63999939	58.41676331	0.108620673
5045	1996	49.88000107	51.56000137	0
5045	2000	40.90000153	49.88000107	0
5045	2004	58.63999939	54.95000076	3.037606955
5047	1988	58.92593384	64.62173462	0
5047	1992	37.04000092	58.92593384	0
5047	1996	52.83000183	47.75999832	0
5047	2000	43.54999924	52.83000183	0
5047	2004	57.36000061	53.36999893	4.258410931
5049	1988	48.47106552	55.54495621	0
5049	1992	26.55999947	48.47106552	0
5049	1996	55.90999985	59.68999863	0
5049	2000	48.09999847	55.90999985	0
5049	2004	50.90000153	49.56000137	5.644034863
5051	1988	60.93483353	64.87751007	0
5051	1992	35.79999924	60.93483353	0
5051	1996	53.06000137	52.25999832	0
5051	2000	44.08000183	53.06000137	0
5051	2004	54.13000107	53.15000153	0.893674612
5053	1988	55.40375137	59.58607864	0
5053	1992	36.65999985	55.40375137	0
5053	1996	53.25	51.47000122	0
5053	2000	42.15999985	53.25	0
5053	2004	62.11000061	54.63000107	2.938699007
5055	1988	50.05819702	56.64130402	0
5055	1992	28.48999977	50.05819702	0
5055	1996	57.61000061	61.20000076	0
5055	2000	50.61999893	57.61000061	3.147074699
5055	2004	51.86000061	46.70999908	3.493736744
5057	1988	50.49365234	59.57963943	0
5057	1992	26.75	50.49365234	0
5057	1996	65.98999786	61.38000107	0
5057	2000	54.00999832	65.98999786	3.242516994
5057	2004	48.04000092	44.68000031	3.8325212
5059	1988	44.45507813	49.09725189	0
5059	1992	28.60000038	44.45507813	0
5059	1996	59.09999847	59.41999817	0
5059	2000	50.33000183	59.09999847	2.600044727
5059	2004	49.40000153	45.91999817	3.101257086
5061	1988	57.87410736	63.81347275	0
5061	1992	34.72999954	57.87410736	0
5061	1996	59.18000031	55.56000137	0
5061	2000	46.27000046	59.18000031	0
5061	2004	55.34999847	52.15999985	4.227542877
5063	1988	59.21663284	62.72059631	0
5063	1992	32.95999908	59.21663284	0
5063	1996	53.65999985	55.15999985	0
5063	2000	44.38999939	53.65999985	2.571871519
5063	2004	57.11000061	53	3.700638294
5065	1988	51.1872406	53.7460556	0
5065	1992	27.42000008	51.1872406	0
5065	1996	55.11000061	61.18000031	0
5065	2000	51.40999985	55.11000061	0.810176492
5065	2004	51.56999969	45.72999954	5.944087505
5067	1988	41.90489197	49.1371727	0
5067	1992	24.77000046	41.90489197	0
5067	1996	66.22000122	65.70999908	0
5067	2000	60.13000107	66.22000122	3.323794127
5067	2004	42.18999863	37.54999924	5.488050461
5069	1988	42.08120346	44.52693558	0
5069	1992	23.73999977	42.08120346	0
5069	1996	71.18000031	68.84999847	0
5069	2000	65.12999725	71.18000031	2.343842268
5069	2004	33.50999832	32.22000122	3.962765932
5071	1988	58.29131317	60.69958878	0
5071	1992	33.81999969	58.29131317	0
5071	1996	52.47000122	52.13999939	0
5071	2000	45.65999985	52.47000122	0
5071	2004	53.59000015	51.06999969	3.281955957
5073	1988	48.94736862	57.46549606	0
5073	1992	29.86000061	48.94736862	2.722781897
5073	1996	64.13999939	57.11999893	1.487285733
5073	2000	53.38000107	64.13999939	0
5073	2004	50.27000046	45.45999908	5.050251484
5075	1988	49.91434479	60.89250565	0
5075	1992	30.64999962	49.91434479	0
5075	1996	59.47000122	59.84000015	0
5075	2000	53.88999939	59.47000122	2.506581068
5075	2004	44.61000061	43.47999954	3.874679327
5077	1988	38.71570969	45.26066208	0
5077	1992	25.52000046	38.71570969	0
5077	1996	71.75	67.81999969	0
5077	2000	66.16999817	71.75	0
5077	2004	36.56999969	32.77999878	5.835474014
5079	1988	41.03848267	43.60056305	0
5079	1992	26.27000046	41.03848267	2.21088171
5079	1996	68.62000275	64.52999878	0
5079	2000	55.18999863	68.62000275	0
5079	2004	46.75	43.02999878	5.8578372
5081	1988	45.84879684	60.15252686	0
5081	1992	25.94000053	45.84879684	3.774097919
5081	1996	62.27000046	58.18000031	1.179911852
5081	2000	54.77999878	62.27000046	0
5081	2004	48.63999939	43.38000107	5.888742447
5083	1988	62.87100601	63.85161972	0
5083	1992	39.22999954	62.87100601	0
5083	1996	47.88999939	45.99000168	0
5083	2000	40.54999924	47.88999939	0
5083	2004	59.36000061	55.41999817	3.843003273
5085	1988	59.67741776	64.50501251	0
5085	1992	39.52000046	59.67741776	0
5085	1996	50.13000107	50.31999969	0
5085	2000	38.18000031	50.13000107	2.553111792
5085	2004	65.36000061	59.11000061	3.740126133
5087	1988	58.72104263	62.24110413	0
5087	1992	42.40999985	58.72104263	0
5087	1996	46.75999832	45.75999832	0
5087	2000	36.50999832	46.75999832	0
5087	2004	60.66999817	60.18000031	5.082627773
5089	1988	57.80223846	64.57194519	0
5089	1992	32.38999939	57.80223846	0
