"year" "pct" "ser_num" "datestop" "timestop" "city" "sex" "race" "dob" "age"
"7091" 2012 43 215 1052012 1312 3 1 1 1101982 29
"7115" 2012 13 30 1052012 1325 1 1 4 3081977 34
"7133" 2012 42 85 1052012 1335 3 1 1 6091984 27
"7151" 2012 25 512 1052012 1345 1 1 1 11271978 33
"7159" 2012 46 57 1052012 1350 3 1 3 4041979 32
"7163" 2012 61 61 1052012 1355 2 0 1 4291987 24
"7206" 2012 17 29 1052012 1410 1 1 1 12121990 21
"7210" 2012 5 92 1052012 1410 1 1 4 3241982 29
"7217" 2012 47 100 1052012 1415 3 1 1 4241976 35
"7226" 2012 114 97 1052012 1420 4 1 3 6261981 30
"7253" 2012 52 163 1052012 1430 3 1 3 8221958 53
"7310" 2012 77 77 1052012 1452 2 1 1 12311900 16
"7374" 2012 60 62 1052012 1510 2 1 4 12311900 24
"7477" 2012 114 67 1052012 1555 4 1 3 12311900 21
"7503" 2012 40 828 1052012 1605 3 1 1 12311900 22
"7531" 2012 70 63 1052012 1612 2 1 3 12211989 22
"7561" 2012 76 40 1052012 1620 2 1 3 10191971 40
"7645" 2012 101 73 1052012 1650 4 1 1 12041985 26
"7661" 2012 67 84 1052012 1659 2 0 1 12311900 50
"7724" 2012 30 52 1052012 1721 1 1 1 12311900 47
"7752" 2012 94 22 1052012 1732 2 1 3 12311900 15
"7763" 2012 44 141 1052012 1740 3 1 1 5181954 57
"7771" 2012 41 104 1052012 1750 3 1 1 5191968 47
"7772" 2012 23 389 1052012 1750 1 1 2 5311957 54
"7837" 2012 75 307 1052012 1825 2 1 1 12311900 23
"7869" 2012 106 20 1052012 1835 4 1 1 12311900 20
"7893" 2012 83 110 1052012 1845 2 1 1 12311900 19
"7938" 2012 114 133 1052012 1900 4 1 1 12111994 17
"7969" 2012 73 340 1052012 1910 2 1 1 12311900 19
"7985" 2012 103 237 1052012 1915 4 1 1 12311900 29
"7986" 2012 10 28 1052012 1915 1 1 1 12311900 47
"8013" 2012 43 82 1052012 1920 3 1 3 12311900 33
"8024" 2012 109 216 1052012 1925 4 1 3 4251991 20
"8066" 2012 34 129 1052012 1945 1 0 2 12311900 22
"8160" 2012 44 136 1052012 2010 3 1 1 12311900 14
"8205" 2012 112 78 1052012 2024 4 1 1 11121963 48
"8211" 2012 77 87 1052012 2025 2 1 1 7101991 20
"8253" 2012 110 163 1052012 2030 4 1 3 12311900 32
"8314" 2012 52 148 1052012 2050 3 1 3 2211992 19
"8321" 2012 40 248 1052012 2055 3 0 1 12311900 15
"8342" 2012 75 739 1052012 2100 2 1 1 9201991 20
"8403" 2012 112 80 1052012 2115 4 1 4 3121981 30
"8413" 2012 69 55 1052012 2120 2 1 1 4301984 27
"8439" 2012 120 316 1052012 2130 5 1 1 2151978 33
"8526" 2012 120 206 1052012 2155 5 1 3 10091975 45
"8540" 2012 120 58 1052012 2200 5 1 4 1291992 19
"8555" 2012 46 250 1052012 2210 3 1 1 9091991 20
"8564" 2012 122 40 1052012 2210 5 1 4 12311900 42
"8623" 2012 7 54 1052012 2231 1 1 5 10151984 27
"8627" 2012 44 110 1052012 2235 3 1 1 12311900 20
"8640" 2012 32 145 1052012 2240 1 1 3 12311900 26
"8665" 2012 90 395 1052012 2250 2 1 4 7121984 27
"8673" 2012 25 516 1052012 2255 1 1 1 1161994 17
"8687" 2012 72 83 1052012 2258 2 1 3 9261982 29
"8716" 2012 110 157 1052012 2300 4 1 4 12311900 18
"8748" 2012 43 128 1052012 2320 3 1 1 12311900 169
"8761" 2012 43 253 1052012 2330 3 1 1 12311900 24
"8828" 2012 25 115 1062012 10 1 1 3 12311900 34
"8834" 2012 44 109 1062012 15 3 1 1 12311900 21
"8863" 2012 42 61 1062012 25 3 1 3 12311900 16
"8902" 2012 101 107 1062012 40 4 1 1 6071984 27
"8930" 2012 70 82 1062012 50 2 1 1 11211981 31
"8935" 2012 60 75 1062012 50 2 1 4 12311900 24
"8943" 2012 40 571 1062012 55 3 1 3 3101990 21
"8959" 2012 115 118 1062012 100 4 1 3 6281980 31
"8971" 2012 25 72 1062012 104 1 1 1 6091988 23
"8976" 2012 84 45 1062012 105 2 1 1 12311900 14
"8993" 2012 41 86 1062012 115 3 1 3 4021965 46
"9010" 2012 69 60 1062012 125 2 1 1 11101981 30
"9014" 2012 115 904 1062012 130 4 0 1 3171991 20
"9051" 2012 33 140 1062012 150 1 1 2 12311900 28
"9061" 2012 75 1129 1062012 200 2 1 1 12311900 21
"9083" 2012 66 32 1062012 220 2 0 4 11191987 24
"9090" 2012 14 79 1062012 230 1 1 1 12311900 16
"9096" 2012 67 283 1062012 230 2 1 1 12311900 22
"9115" 2012 72 74 1062012 245 2 1 5 9281990 22
"9150" 2012 83 259 1062012 320 2 0 4 12311900 21
"9158" 2012 110 91 1062012 330 4 1 3 12311900 21
"9160" 2012 115 474 1062012 335 4 1 3 12051993 18
"9164" 2012 72 76 1062012 345 2 1 3 12301975 36
"9249" 2012 41 161 1062012 833 3 1 1 12311900 22
"9267" 2012 1 87 1062012 910 1 1 1 7011987 25
"9281" 2012 107 567 1062012 925 4 0 1 12311900 15
"9287" 2012 75 248 1062012 930 2 1 1 3241996 18
