"isolate" "year" "partyid" "age" "attend" "south" "income" "female" "minority"
"4131" -1 1956 1 56 1 0 4 1 0
"4132" -1 1956 3 22 2 0 3 0 0
"4133" -1 1956 2 42 1 0 5 1 0
"4134" -1 1956 2 23 2 1 3 0 0
"4135" -1 1956 1 31 4 1 4 0 0
"4136" -1 1956 2 22 1 0 2 0 0
"4137" 1 1956 2 77 1 1 1 1 0
"4138" -1 1956 2 35 4 0 5 1 0
"4139" -1 1956 2 43 1 0 3 0 0
"4140" 1 1956 4 25 4 0 2 1 0
"4141" 1 1956 1 48 4 1 4 1 0
"4142" 0 1956 2 69 1 0 1 1 0
"4143" 1 1956 1 54 1 1 1 1 0
"4144" -1 1956 2 46 1 1 5 0 0
"4145" 1 1956 2 33 1 0 4 1 0
"4146" -1 1956 2 42 4 1 4 0 1
"4147" 0 1956 2 36 1 0 2 1 0
"4148" 0 1956 2 27 4 0 3 1 1
"4149" -1 1956 3 37 4 0 5 0 0
"4150" 1 1956 2 67 1 0 1 0 0
"4151" 0 1956 1 35 2 0 2 1 0
"4152" 1 1956 2 76 4 1 1 0 1
"4154" 1 1956 2 46 1 1 4 0 0
"4155" -1 1956 1 31 2 0 2 1 0
"4158" -1 1956 1 62 4 0 3 0 0
"4159" -1 1956 2 46 5 0 3 0 0
"4160" -1 1956 2 45 1 1 3 0 0
"4161" 0 1956 2 39 1 1 3 1 0
"4162" -1 1956 1 38 4 0 3 0 0
"4163" -1 1956 1 37 1 0 4 1 0
"4164" 1 1956 1 46 2 1 4 0 0
"4165" -1 1956 4 44 4 0 4 0 0
"4166" -1 1956 1 28 1 1 3 1 0
"4167" 0 1956 4 56 1 0 2 0 0
"4168" -1 1956 2 29 4 0 3 1 0
"4169" -1 1956 2 65 4 1 2 0 0
"4170" -1 1956 2 27 1 0 2 1 0
"4171" -1 1956 2 65 1 0 3 1 0
"4172" 0 1956 1 54 4 1 3 0 0
"4175" 1 1956 1 32 2 1 1 1 0
"4176" -1 1956 2 37 2 0 4 0 0
"4177" -1 1956 2 41 2 0 4 1 0
"4178" 1 1956 1 23 2 0 4 1 0
"4179" -1 1956 2 50 1 0 5 0 0
"4180" 1 1956 2 37 1 0 4 1 0
"4181" 0 1956 1 28 4 1 4 1 0
"4182" -1 1956 2 47 1 1 5 0 0
"4183" -1 1956 3 40 1 0 4 0 0
"4184" -1 1956 4 43 4 1 4 0 0
"4185" 0 1956 1 44 1 1 1 0 1
"4186" -1 1956 2 36 1 1 3 0 0
"4187" -1 1956 2 54 4 0 5 0 0
"4188" -1 1956 3 28 1 0 3 0 0
"4189" -1 1956 4 35 4 0 2 0 1
"4190" 0 1956 2 40 1 0 3 1 1
"4191" -1 1956 3 21 4 0 1 1 0
"4192" 0 1956 1 46 2 1 2 0 1
"4193" -1 1956 4 32 4 0 3 0 0
"4194" -1 1956 2 37 2 1 3 0 0
"4196" 0 1956 2 69 4 1 2 0 0
"4197" -1 1956 2 32 1 0 4 1 0
"4198" 0 1956 2 23 1 1 1 0 1
"4199" -1 1956 2 38 1 1 3 0 0
"4200" -1 1956 1 31 1 0 3 1 0
"4201" -1 1956 2 33 1 1 3 0 0
"4202" 0 1956 2 51 1 0 3 1 0
"4203" -1 1956 1 35 1 1 3 0 0
"4204" -1 1956 1 70 2 0 1 0 0
"4205" -1 1956 1 52 1 0 4 1 0
"4206" 1 1956 2 38 4 0 2 1 0
"4207" -1 1956 4 39 1 0 3 0 0
"4208" -1 1956 1 62 1 1 5 0 0
"4209" -1 1956 1 42 1 0 3 0 0
"4210" -1 1956 1 52 1 1 2 1 0
"4211" -1 1956 1 46 1 0 2 1 0
"4212" 1 1956 2 24 4 0 2 0 1
"4213" -1 1956 2 32 1 0 3 1 0
